date,county,fips,positive_patients,suspected_patients,icu_positive_patients,icu_suspected_patients,icu_available_beds
2021-11-07,Mono,51,0.0,0.0,0.0,0.0,2.0
2021-11-07,Monterey,53,23.0,0.0,1.0,0.0,17.0
2021-11-07,Napa,55,8.0,2.0,4.0,0.0,3.0
2021-11-07,Nevada,57,15.0,0.0,1.0,0.0,1.0
2021-11-07,Orange,59,227.0,9.0,56.0,1.0,148.0
2021-11-07,Placer,61,109.0,6.0,28.0,1.0,21.0
2021-11-07,Plumas,63,4.0,0.0,0.0,0.0,0.0
2021-11-07,Riverside,65,254.0,22.0,63.0,2.0,83.0
2021-11-07,Sacramento,67,158.0,26.0,44.0,2.0,68.0
2021-11-07,San Benito,69,2.0,0.0,0.0,0.0,2.0
2021-11-07,San Bernardino,71,299.0,16.0,87.0,3.0,131.0
2021-11-07,San Diego,73,270.0,18.0,78.0,2.0,212.0
2021-11-07,San Francisco,75,32.0,6.0,11.0,0.0,88.0
2021-11-07,San Joaquin,77,100.0,6.0,29.0,0.0,12.0
2021-11-07,San Luis Obispo,79,16.0,0.0,4.0,0.0,17.0
2021-11-07,San Mateo,81,20.0,13.0,5.0,1.0,16.0
2021-11-07,Santa Barbara,83,35.0,0.0,8.0,0.0,35.0
2021-11-07,Santa Clara,85,103.0,19.0,29.0,3.0,58.0
2021-11-07,Santa Cruz,87,3.0,1.0,0.0,0.0,3.0
2021-11-07,Shasta,89,61.0,0.0,11.0,0.0,7.0
2021-11-07,Siskiyou,93,5.0,0.0,1.0,0.0,4.0
2021-11-07,Solano,95,43.0,7.0,11.0,1.0,13.0
2021-11-07,Sonoma,97,28.0,1.0,6.0,0.0,16.0
2021-11-07,Stanislaus,99,160.0,8.0,34.0,1.0,20.0
2021-11-07,Sutter,101,0.0,0.0,0.0,0.0,0.0
2021-11-07,Tehama,103,7.0,0.0,1.0,0.0,2.0
2021-11-07,Trinity,105,0.0,0.0,0.0,0.0,0.0
2021-11-07,Tulare,107,149.0,8.0,35.0,0.0,3.0
2021-11-07,Tuolumne,109,10.0,0.0,0.0,0.0,3.0
2021-11-07,Ventura,111,33.0,3.0,5.0,0.0,32.0
2021-11-07,Yolo,113,7.0,0.0,3.0,0.0,3.0
2021-11-07,Yuba,115,25.0,0.0,6.0,0.0,5.0
2021-11-06,Alameda,1,54.0,27.0,19.0,3.0,116.0
2021-11-06,Amador,5,6.0,1.0,2.0,1.0,0.0
2021-11-06,Butte,7,59.0,2.0,10.0,0.0,8.0
2021-11-06,Calaveras,9,4.0,0.0,0.0,0.0,4.0
2021-11-06,Colusa,11,2.0,0.0,0.0,0.0,0.0
2021-11-06,Contra Costa,13,35.0,10.0,16.0,3.0,46.0
2021-11-06,Del Norte,15,3.0,0.0,1.0,0.0,4.0
2021-11-06,El Dorado,17,11.0,0.0,3.0,0.0,4.0
2021-11-06,Fresno,19,316.0,15.0,69.0,2.0,19.0
2021-11-06,Glenn,21,0.0,2.0,0.0,0.0,0.0
2021-11-06,Humboldt,23,14.0,1.0,5.0,0.0,7.0
2021-11-06,Imperial,25,38.0,0.0,10.0,0.0,4.0
2021-11-06,Inyo,27,3.0,0.0,1.0,0.0,2.0
2021-11-06,Kern,29,222.0,0.0,63.0,0.0,19.0
2021-11-06,Kings,31,51.0,0.0,9.0,0.0,0.0
2021-11-06,Lake,33,2.0,0.0,1.0,0.0,1.0
2021-11-06,Lassen,35,4.0,0.0,0.0,0.0,0.0
2021-11-06,Los Angeles,37,655.0,100.0,161.0,9.0,580.0
2021-11-06,Madera,39,28.0,5.0,8.0,0.0,5.0
2021-11-06,Marin,41,2.0,2.0,1.0,0.0,13.0
2021-11-06,Mariposa,43,0.0,0.0,0.0,0.0,0.0
2021-11-06,Mendocino,45,10.0,0.0,2.0,0.0,1.0
2021-11-06,Merced,47,42.0,0.0,14.0,0.0,1.0
2021-11-06,Modoc,49,1.0,0.0,0.0,0.0,0.0
2021-11-06,Mono,51,0.0,0.0,0.0,0.0,2.0
2021-11-06,Monterey,53,23.0,1.0,1.0,0.0,15.0
2021-11-06,Napa,55,8.0,0.0,5.0,0.0,7.0
2021-11-06,Nevada,57,17.0,0.0,2.0,0.0,1.0
2021-11-06,Orange,59,219.0,5.0,52.0,1.0,121.0
2021-11-06,Placer,61,110.0,8.0,29.0,0.0,19.0
2021-11-06,Plumas,63,4.0,0.0,0.0,0.0,0.0
2021-11-06,Riverside,65,261.0,27.0,61.0,1.0,99.0
2021-11-06,Sacramento,67,158.0,27.0,43.0,2.0,70.0
2021-11-06,San Benito,69,2.0,0.0,0.0,0.0,2.0
2021-11-06,San Bernardino,71,297.0,17.0,83.0,3.0,151.0
2021-11-06,San Diego,73,283.0,20.0,76.0,5.0,205.0
2021-11-06,San Francisco,75,32.0,4.0,12.0,0.0,97.0
2021-11-06,San Joaquin,77,103.0,6.0,31.0,0.0,12.0
2021-11-06,San Luis Obispo,79,17.0,1.0,5.0,0.0,19.0
2021-11-06,San Mateo,81,22.0,12.0,5.0,1.0,15.0
2021-11-06,Santa Barbara,83,35.0,0.0,10.0,0.0,29.0
2021-11-06,Santa Clara,85,101.0,13.0,29.0,3.0,51.0
2021-11-06,Santa Cruz,87,4.0,1.0,0.0,0.0,3.0
2021-11-06,Shasta,89,56.0,0.0,11.0,0.0,5.0
2021-11-06,Siskiyou,93,4.0,0.0,1.0,0.0,3.0
2021-11-06,Solano,95,45.0,6.0,11.0,0.0,16.0
2021-11-06,Sonoma,97,29.0,0.0,4.0,0.0,22.0
